
Récapitulatif de mes puissances atteintes en W

Date et heure de relève par le distributeur;Puissance atteinte (W);Nature de la donnée
18:00:00;36;Réelle
17:30:00;44;Réelle
17:00:00;34;Réelle
16:30:00;46;Réelle
16:00:00;32;Réelle
15:30:00;48;Réelle
15:00:00;32;Réelle
14:30:00;48;Réelle
14:00:00;30;Réelle
13:30:00;50;Réelle
13:00:00;30;Réelle
12:30:00;52;Réelle
12:00:00;26;Réelle
11:30:00;54;Réelle
11:00:00;26;Réelle
10:30:00;54;Réelle
10:00:00;28;Réelle
09:30:00;52;Réelle
09:00:00;54;Réelle
08:30:00;64;Réelle
08:00:00;76;Réelle
07:30:00;78;Réelle
07:00:00;72;Réelle
06:30:00;26;Réelle
06:00:00;54;Réelle
05:30:00;26;Réelle
05:00:00;56;Réelle
04:30:00;30;Réelle
04:00:00;60;Réelle
03:30:00;32;Réelle
03:00:00;62;Réelle
02:30:00;134;Réelle
02:00:00;142;Réelle
01:30:00;174;Réelle
01:00:00;920;Réelle
00:30:00;788;Réelle

11/12/2023;;
00:00:00;1060;Réelle
23:30:00;66;Réelle
23:00:00;62;Réelle
22:30:00;40;Réelle
22:00:00;98;Réelle
21:30:00;74;Réelle
21:00:00;72;Réelle
20:30:00;48;Réelle
20:00:00;74;Réelle
19:30:00;36;Réelle
19:00:00;76;Réelle
18:30:00;68;Réelle
18:00:00;98;Réelle
17:30:00;62;Réelle
17:00:00;86;Réelle
16:30:00;68;Réelle
16:00:00;82;Réelle
15:30:00;70;Réelle
15:00:00;82;Réelle
14:30:00;78;Réelle
14:00:00;140;Réelle
13:30:00;54;Réelle
13:00:00;52;Réelle
12:30:00;94;Réelle
12:00:00;96;Réelle
11:30:00;432;Réelle
11:00:00;250;Réelle
10:30:00;92;Réelle
10:00:00;104;Réelle
09:30:00;108;Réelle
09:00:00;66;Réelle
08:30:00;84;Réelle
08:00:00;84;Réelle
07:30:00;66;Réelle
07:00:00;46;Réelle
06:30:00;40;Réelle
06:00:00;54;Réelle
05:30:00;44;Réelle
05:00:00;50;Réelle
04:30:00;36;Réelle
04:00:00;52;Réelle
03:30:00;32;Réelle
03:00:00;54;Réelle
02:30:00;30;Réelle
02:00:00;58;Réelle
01:30:00;36;Réelle
01:00:00;62;Réelle
00:30:00;40;Réelle

10/12/2023;;
00:00:00;72;Réelle
23:30:00;40;Réelle
23:00:00;66;Réelle
22:30:00;88;Réelle
22:00:00;180;Réelle
21:30:00;78;Réelle
21:00:00;120;Réelle
20:30:00;66;Réelle
20:00:00;40;Réelle
19:30:00;66;Réelle
19:00:00;62;Réelle
18:30:00;206;Réelle
18:00:00;112;Réelle
17:30:00;152;Réelle
17:00:00;152;Réelle
16:30:00;156;Réelle
16:00:00;150;Réelle
15:30:00;160;Réelle
15:00:00;144;Réelle
14:30:00;168;Réelle
14:00:00;140;Réelle
13:30:00;54;Réelle
13:00:00;24;Réelle
